gap_direction,gap_bucket,total_count,prob_fill_50pct,prob_fill_80pct,prob_fill_100pct,avg_gap_size_pct
Gap_Down,0-0.5%,442,0.832579185520362,0.9004524886877828,0.7194570135746606,0.0018868471905219943
Gap_Down,0.5-1%,101,0.6435643564356436,0.8811881188118812,0.39603960396039606,0.007124242672571091
Gap_Down,1-2%,32,0.5625,0.875,0.15625,0.014154842350511225
Gap_Down,>2%,20,0.4,0.65,0.15,0.034742182589537034
Gap_Up,0-0.5%,905,0.8696132596685083,0.9425414364640884,0.7602209944751381,0.002256924476680631
Gap_Up,0.5-1%,200,0.68,0.875,0.375,0.006752380900462722
Gap_Up,1-2%,51,0.47058823529411764,0.7254901960784313,0.37254901960784315,0.013211495881948252
Gap_Up,>2%,17,0.5294117647058824,0.8823529411764706,0.23529411764705882,0.0430784003428392
